TerminalType=ICS689-MF,AlibiVersion=2013022585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
称重序号,时间,,净重,皮重,,,称台号,,,ID1,,,,,,,,,,,,,,,物品,,,,,
RecordNo,DateTime,Gross,Net,TareOrPreTare,SNRTerminal,TerminalLocation,SNRScale,Temperature,ConsiquenceNo,ID1,ID2,ID3,APW,Quantity,UnitName,ReferenceCount,Accuracy,WeightPosition,Deviation,TotalLots,ClassInfo,ClassName,UserName,UserID,Article,ArticleDescription,ArticleInfo1,ArticleInfo2,ArticleInfo3,Target
1,07/01/2000 19:05:51,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
2,07/01/2000 19:05:54,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
3,07/01/2000 19:05:56,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
4,07/01/2000 19:05:57,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
5,07/01/2000 19:05:57,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
6,07/01/2000 19:05:58,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
7,07/01/2000 19:05:59,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
8,07/01/2000 19:06:08,   ,0 g,0 g,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
9,07/01/2000 19:15:10,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
10,07/01/2000 19:37:52,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
11,10/12/2019 11:24:39,   ,0.5 kg,4.5 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
12,10/12/2019 12:38:52,   ,77.0 kg,1.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
13,10/12/2019 12:46:44,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
14,10/12/2019 12:46:44,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
15,10/12/2019 12:46:44,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
16,10/12/2019 12:46:46,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
17,10/12/2019 12:46:48,   ,0.0 kg,0.0 kg,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
